X,Y,Z
-0.3659,-0.6098,-0.7317
-0.4268,-0.3049,-0.7317
-0.1829,-0.3049,-0.6707
-0.1829,-0.1829,-0.7317
-0.1220,-0.2439,-0.6098
-0.2439,-0.5488,-0.5488
-0.3049,-0.4268,-0.7317
-0.1829,-0.3659,-0.7317
-0.2439,-0.2439,-0.7317
-0.2439,-0.2439,-0.6098
-0.3659,-0.3049,-0.6707
-0.3659,-0.4268,-0.7317
-0.3049,-0.3049,-0.6707
-0.3049,-0.4878,-0.6098
-0.3049,-0.4268,-0.7317
-0.1220,-0.3659,-0.7317
-0.3049,-0.3659,-0.7317
-0.4268,-0.4878,-0.6707
-0.1829,-0.3659,-0.6707
-0.2439,-0.2439,-0.4878
-0.4268,-0.4268,-0.7927
-0.3659,-0.2439,-0.6707
-0.3049,-0.3049,-0.6098
-0.3659,-0.3049,-0.7927
-0.3049,-0.3049,-0.7927
-0.1220,-0.4268,-0.6707
-0.3659,-0.5488,-0.6707
-0.3049,-0.3659,-0.6098
-0.3049,-0.2439,-0.5488
-0.1829,-0.3049,-0.6707
-0.3049,-0.2439,-0.6098
-0.2439,-0.3659,-0.7927
-0.4268,-0.4878,-0.7927
-0.3049,-0.4268,-0.7927
-0.1829,-0.3049,-0.6098
-0.1829,-0.4268,-0.5488
-0.3659,-0.3049,-0.8537
-0.3049,-0.5488,-0.6707
-0.2439,-0.3659,-0.6098
-0.3049,-0.4268,-0.7927
-0.1829,-0.4268,-0.6098
-0.2439,-0.3049,-0.6707
-0.3659,-0.4878,-0.6707
-0.3049,-0.3659,-0.7317
-0.1829,-0.3049,-0.6098
-0.3049,-0.3659,-0.6707
-0.4268,-0.4268,-0.6707
-0.2439,-0.3049,-0.6098
-0.2439,-0.3049,-0.8537
-0.3049,-0.4268,-0.8537
-0.2439,-0.4268,-0.6707
-0.2439,-0.3659,-0.4878
-0.3049,-0.3049,-0.7927
-0.3049,-0.2439,-0.6707
-0.1829,-0.4268,-0.7927
-0.2439,-0.4878,-0.5488
-0.2439,-0.3659,-0.5488
-0.3049,-0.4268,-0.6098
-0.3659,-0.5488,-0.6707
-0.1220,-0.3659,-0.6707
-0.2439,-0.2439,-0.7317
-0.2439,-0.3659,-0.7317
-0.1829,-0.2439,-0.6707
-0.0610,-0.3049,-0.6098
-0.3049,-0.3659,-0.5488
-0.3659,-0.6098,-0.7927
-0.1220,-0.4268,-0.7927
-0.4268,-0.4878,-0.6707
-0.3049,-0.3049,-0.7927
-0.1829,-0.1220,-0.7927
-0.3659,-0.3049,-0.7317
-0.3659,-0.3049,-0.7317
-0.1829,-0.4268,-0.7317
-0.3049,-0.4878,-0.7317
-0.3049,-0.3659,-0.6707
-0.3049,-0.3659,-0.7317
-0.1829,-0.3049,-0.6707
-0.3049,-0.3049,-0.6098
-0.1829,-0.3049,-0.6098
-0.2439,-0.4268,-0.7317
-0.0610,-0.2439,-0.7927
-0.3049,-0.4878,-0.6098
-0.2439,-0.3659,-0.8537
-0.3049,-0.3659,-0.7317
-0.3049,-0.4268,-0.7317
-0.3049,-0.4268,-0.6707
-0.5488,-0.3659,-0.6707
-0.4268,-0.3659,-0.7927
-0.1829,-0.2439,-0.5488
-0.1829,-0.1829,-0.7317
-0.3049,-0.3659,-0.7927
-0.2439,-0.4268,-0.6098
-0.1220,-0.3049,-0.7317
-0.2439,-0.4268,-0.6098
-0.4268,-0.3049,-0.7317
-0.3659,-0.3049,-0.7927
-0.2439,-0.3049,-0.8537
-0.4268,-0.5488,-0.6707
-0.2439,-0.4878,-0.6707
-0.1829,-0.2439,-0.6707
-0.3659,-0.3049,-0.7317
-0.1829,-0.3659,-0.7317
-0.1829,-0.3659,-0.6707
-0.3659,-0.3049,-0.7927
-0.3049,-0.4878,-0.6707
-0.1829,-0.3659,-0.7927
-0.3659,-0.3659,-0.7927
-0.3659,-0.3659,-0.6707
-0.2439,-0.3049,-0.7317
-0.3659,-0.4268,-0.6098
-0.1829,-0.3049,-0.8537
-0.3049,-0.3049,-0.6707
-0.1829,-0.4268,-0.6098
-0.3049,-0.3049,-0.7927
-0.2439,-0.3049,-0.5488
-0.2439,-0.4878,-0.5488
-0.3049,-0.3659,-0.7317
-0.3049,-0.3049,-0.5488
-0.0610,-0.1220,-0.6098
-0.1220,-0.3659,-0.7927
-0.2439,-0.4268,-0.6098
+0.0000,-0.6707,-1.0976
-0.4268,-0.3049,-0.5488
-0.3659,-0.4268,-0.6098
-0.1829,-0.3659,-0.6098
-0.4878,-0.4268,-0.8537
-0.1829,-0.3049,-0.4268
-0.2439,-0.4268,-0.6707
-0.3049,-0.4268,-0.6707
-0.4268,-0.3659,-0.6098
-0.2439,-0.3659,-0.7317
-0.3659,-0.3659,-0.7927
-0.2439,-0.4268,-0.7317
-0.1829,-0.2439,-0.6707
-0.3049,-0.4268,-0.7317
-0.3049,-0.4268,-0.6098
-0.1829,-0.3049,-0.7317
-0.1829,-0.3659,-0.7317
