t,accel_raw,gyro_raw,kalman_angle
0.0,-0.010288711,-0.12195122,-0.07501772
0.01,-0.007331247,-0.18292683,-0.18450639
0.02,-0.01026357,-0.18292683,-0.2978232
0.03,-0.011224517,-0.18292683,-0.41144332
0.04,-0.011213572,-0.18292683,-0.52175117
0.049999997,-0.00977486,-0.18292683,-0.62306947
0.06,-0.009281609,-0.06097561,-0.650825
0.07,-0.010288711,-0.06097561,-0.6799029
0.08,-0.01174689,-0.18292683,-0.77758926
0.099999994,-0.009295232,-0.12195122,-0.8265018
0.12,-0.011701075,-0.18292683,-0.91383123
0.13,-0.011741144,-0.18292683,-0.99521756
0.14999999,-0.009813228,-0.12195122,-1.030893
0.16,-0.010762794,-0.18292683,-1.1013024
0.17,-0.012682247,-0.18292683,-1.175903
0.17999999,-0.009118289,-0.12195122,-1.2003187
0.19,-0.009798804,-0.06097561,-1.1962731
0.21,-0.009304335,-0.18292683,-1.2593431
0.22,-0.010778612,-0.12195122,-1.2956463
0.22999999,-0.01124647,-0.12195122,-1.3362861
0.24,-0.012276169,-0.18292683,-1.4166158
0.25,-0.009751031,-0.12195122,-1.4585551
0.26,-0.009789213,-0.18292683,-1.5413144
0.26999998,-0.01223031,-0.24390244,-1.6717129
0.29,-0.010747022,-0.12195122,-1.7401339
0.29999998,-0.010741774,0.0,-1.7562886
0.31,-0.011219041,-0.06097561,-1.8275247
0.32,-0.012236295,-0.18292683,-1.9929682
0.32999998,-0.0117239375,-0.18292683,-2.1919243
0.34,-0.00977964,-0.24390244,-2.480326
0.35,-0.008814659,-0.18292683,-2.8222299
0.37,-0.011251971,-0.06097561,-3.2220688
0.38,-0.011240974,-0.18292683,-3.9356718
0.39,-0.008797427,-0.12195122,-5.153516
0.39999998,-0.010747022,-0.12195122,-7.767448
0.41,-0.0107680615,-0.12195122,-17.700665
0.42,-0.012707039,-0.18292683,42.365433
0.42999998,-0.01174689,-0.30487806,8.80532
0.44,-0.009760548,-0.06097561,4.744068
0.45,-0.008814659,-0.18292683,3.1506593
0.45999998,-0.010273611,-0.36585367,2.2049825
0.47,-0.011235482,-0.18292683,1.669396
0.48,-0.008780262,-0.06097561,1.3927616
0.48999998,-0.009770085,-0.12195122,1.1574956
0.5,-0.011718214,-0.06097561,0.98586994
0.51,-0.00977964,-0.18292683,0.81912637
0.52,-0.012242287,-0.18292683,0.65985763
