t,accel_raw,gyro_raw,kalman_angle
0.92999995,5.6244354,58.292683,3.9617386
0.9329999,16.13189,75.30488,16.711212
0.93599993,19.944275,84.085365,28.24704
0.93899995,5.514267,95.243904,34.432716
0.9419999,-15.632797,91.21951,32.982243
0.94499993,-26.213493,83.35366,28.151825
0.94799995,-27.106316,69.02439,22.52623
0.9509999,-21.984322,50.30488,17.322624
0.95399994,-26.598877,28.109756,9.45153
0.95699996,-14.915459,-16.890244,0.95832825
0.9599999,-21.194359,-40.487804,-9.956726
0.96299994,-41.35721,-35.792683,-22.685715
0.96599996,-52.162735,-35.182926,-34.836037
0.9689999,-28.546326,-68.17073,-41.855896
0.97199994,4.1132126,-80.60976,-40.11374
0.9749999,12.037109,-61.40244,-34.318893
0.9779999,-4.795265,-45.914635,-32.45327
0.98099995,-5.0345078,-43.90244,-30.880302
0.9839999,1.0623856,-30.853659,-26.469604
0.9869999,3.3567734,-14.207317,-20.494766
0.98999995,-3.3346786,6.8292685,-15.14785
0.9929999,-2.2732925,23.90244,-8.748154
0.99599993,6.9474564,37.19512,0.07623291
0.99899995,8.080467,52.560978,8.84861
1.002,11.18531,58.78049,16.934097
1.0049999,11.292862,60.121952,23.110489
1.0079999,-3.25428,58.109756,23.629295
1.0109999,-15.887482,50.0,19.689049
1.0139999,-15.456009,47.5,16.570236
1.017,-14.026871,42.560978,14.008888
1.02,-9.497177,29.634148,11.6528015
1.0229999,-4.7808,-0.36585367,7.3274765
1.0259999,-35.295715,-40.0,-8.861351
1.0289999,-52.62236,-72.5,-29.477242
1.032,-53.775604,-83.96342,-46.477097
1.035,-45.964157,-97.5,-58.73001
1.038,-7.8857193,-110.36586,-59.498535
1.0409999,12.547821,-103.17073,-53.825623
1.0439999,2.1989288,-81.46342,-49.569595
1.0469999,-6.6716385,-68.71951,-47.11505
1.05,-4.3896255,-65.0,-44.232346
1.053,4.0634537,-46.219513,-37.510567
1.0559999,5.7817307,-21.768293,-28.985207
1.0589999,4.72847,3.6585367,-19.724907
1.0619999,13.55455,15.426829,-9.08197
1.071,-1.0443192,57.92683,3.3111649
1.0739999,-18.74125,47.682926,3.6306915
1.0769999,-18.059685,33.90244,2.2930756
